Field of study,University
Masters in Business Administration,Johns Hopkins University
,
,
Mechanical Engineering,MIT
Mechanical Engineering,Columbia University
Finance,MIT Sloan
,
Finance,"University of Pennsylvania, the Wharton School"
Accounting,None
Biochemistry,"Enugu State University of Science and Technology, Enugu State, Nigeria"
Post-doctoral research fellowship,BIDMC/HMS
,
Mathematics,MIT
Engineering Managment,University of Kansas
M.S. in Commerce (Concentration in Analytics),University of Virginia
Industrial Engineering and Management,OSU
Business and Political Economy,NYU
Master's of Social Work; Certificate in International Relations,Columbia
Compter Science,Stevens Institute of Technology
Public Policy,New York University
,
Chemical Engineering,University of Pisa
Mechanical Engineering,California Polytechnic State University
Mechanical Engineering,University of Texas at San Antonio
Biology,WSU
Mechanical engineering/computer science,university of California
Computer Science,N/A
,
Mechanical Engineering,Worcester Polytechnic Institute
Economics,George Washington University
Engineering management,Northeastern University
Math and Psychology double major. Master of Science in Education,UPenn
Aerospace Engineering (Aeronautical track),University of Maryland - College Park
Industrial & Systems Engineering,University of Florida
Sociomedical Sciences,UNAM
ChE - Chemical Engineering,Northwestern University
Robotics Engineering,WPI
"International Business, Concentrations in Business Data Analytics, Global Strategy and Operations, and Management Consulting","University of South Carolina, Darla Moore School of Business"
Materials Science & Engineering,Carnegie Mellon University
,
International Affairs,University of Georgia
International Relations,Kansas State University
,
Electrical Engineering,MIT
MS in Mechatronics and Robotics,NYU
Electrical Engineering,NYU
Computer Science,New York University
Computer Science,NYU
Computer Science,NYU
Integrated Digital Media,NYU
Computer Science,NYU
Computer Engineering,NYU
Mechanical Engineering,NYU
Computer Science,NYU
Industrial Engineering,NYU
Communications,American University
Masters in Applied Economics and Econometrics; Bachelors in Business Administration with an Emphasis in Cinematic Arts,University of Southern California
Computer Science,NYU
Computer Science,NYU
,
Computer Science,MIT
Computer Engineering,NYU
Computer Engineering,New York University
MA in Law and Diplomacy,Tufts
Computer Science,Alabama A&M University
MBA,Bentley University
,
MBA ( Masters in Business Administration) + Chemical Engineer,Babson College : F.W Olin Graduate School of Business
Business Analytics & Machine Learning,Babson College
"Computer Science, Digital Innovation",Bentley University
,
Interactive Telecommunications,New York University
Computer Science,New York University
Project Management,MIT
Integrated Marketing,NYU
Mathematics,New York University
Integrate Marketing,NYU
Applied Statistics for Social Science Research,New York University
Aerospace Engineering & Mechanical Engineering,New Mexico State University
Public Relations and Corporate Communication,NYU
Health Managment,NYU School of Global Public Health
Financial Engineering,New York University
"Public Health - Epidemiology, Clinical Social Work",Columbia University
Engineering Management,New York University
Mechanical Engineering,NYU
Economics & Applied Psychology,New YorK Univeristy
Data Science,New York University
Masters of Science in Information Systems,New York Universiry
Economics and Mathematics,NYU
Applied Data Science,NYU
Urban Applied Science and Informatics,New York University
Data Science,NYU
Business – Finance and Computing & Data Science,NYU Stern
Cinema Studies,New York University
Global Affairs,"Boston University, NYU"
Art History,Rhodes College
Information Systems,NYU
International Relations,NYU
Computer Science,New York University
,
Electrical and Computer Engineering,Olin College of Engineering
Analytical/Environmental/Soil Science,Cornell University
,
Computer Science,MIT
2A-6,MIT
,
Mechanical Engineer,MIT
Computer Science,MIT
Neuroscience,Harvard
"INDUSTRIAL ENIGNEERING, MBA, MSc. in Business Analytics",HULT INTERNATIONAL BUSINESS SCHOOL
International relations,NYU
Computer Science,Manhattan College
Computer engineering,NYU
"Computer Science, Economics, and Data Science",MIT
MBA,Ivey Business School
Biomedical Science,Rutgers University
Information Systems,MIT
Master in Public Policy,HKS
Public Policy,Harvard
,
"Mechatronics, Robotics, and Automation",New York University
Financial Engineering,NYU
Chemical Engineering,Purdue University
Mechanical Engineer,BU
Machine Learning / Applied Math,"Max Planck Institute for Intelligent Systems, Tübingen Germany"
Systems Engineering,"University of Maryland, College Park"
,
Biology and Economics,McGill University
Psychology,MIT
MBA,Columbia University
Civil Engineering,NYU
Doctor of Pharmacy,MCPHS University
International Business & International Relations,MIT
,
,
Master's in Public Administration (Public Policy),NYU Wagner
Engineering/Industrial Management,University of Illinois at Urbana Champaign
,
International Relations/ MBA,Boston University
MBA/ Electrical Engineering,MIT
Management - Digital Business Track,IE Business School
Global Liberal Studies and Romance lLaguages,NYU
Systems Engineering,Boston University
International Studies,University of Washington
Mechanical Engineering,Harvard
"Industrial Engineering, Data Science",UC Berkeley
Mechanical Engineering,MIT
,
Information Technology and Management,University of Texas at Dallas
Information Systems,Northeastern University
Environmental Studies/ Business/ Economics,Knox College
Chemical and Biological Engineering,Princeton University
Applied Mathematics and Quantitative Social Science,Dartmouth College
Mechanical Engineering,MIT
,
"Political Science, International Relations, French and Francophone Culture",University of Tennessee
Economics,Harvard
Economics,Harvard
"MS Business Analytics, BS Managerial Economics",UC Davis
Finance,Georgetown University
Computer Science,MIT
"Caltech - Bioengineering, Caltech - Business, Economics, and Management",Caltech
Bioengineering,Caltech
Mathematics,MIT
6-3,MIT
Aeronautics and Astronautics,MIT
Electrical Engineering and Computer Science + Finance,MIT
,
Mechanical Engineering,MIT
Mechanical engineering & Computer Science,MIT
Computer Science & Engineering,MIT
Mechanical engineering,MIT
Computer Science,MIT
bioengineering,MIT
Bioengineering and Neuroscience,MIT
Computation and Cognition,MIT
Computation and Cognition,MIT
Finance,MIT
Applied Economics and Management,Cornell University
Chemical Engineering,MIT
Bioengineering,MIT
physics,MIT
MBA,MIT
Computer Science,MIT
Business Analytics,MIT
Computational Science and Engineering,MIT
Architecture,MIT
Caltech - Geology,Caltech
Electrical Engineering and Computer Science,MIT
Physics and Theater Arts,MIT
"Computer Science, Economics and Data Science",MIT
Brain and Cognitive Sciences,MIT
Chemical Engineering,MIT
Civil and Environmental Engineering,MIT
Physics,MIT
,
Electrical Engineering and Computer Science,MIT
Computer Science and Molecular Biology,MIT
MBA,MIT
Chemistry and Biology,MIT
Chemical Engineering,MIT
Mathematics,MIT
,
Computer Science and Cognitive Science,MIT
,
Mechanical Engineering; Urban Planning,MIT
Business Analytics,MIT
MBA/MS Engineering,MIT
,
Finance,MIT
Mechanical Engineering,MIT
Technology Policy,MIT
Mechanical Engineering,MIT
Computer Science and Engineering 6-3,MIT
Career Services,MIT
Electrical Engineering,California Institute of Technology
,
,
Design and Merchandising | Marketing,Drexel University
Economics (14-1),MIT
Computer Science and Neuroscience,MIT
Mechanical Engineering and Computer Science,MIT
Computer Science and Engineering,MIT
"Computer Science, Economics, and Data Science",MIT
Computer Science,MIT
Computer Science,MIT
Computation Science and Engineering,Harvard
Aeronautics and Astronautics and Electrical Engineering and Computer Science,MIT
EMBA,MIT
,
Chemical Engineering,MIT
Mechanical Engineering,NYU
Electrical Engineering,New York University
Civil Engineering,NYU
Mechanical Engineering,MIT
Mechanical engineering,NYU
Computer Engineering,Carnegie Mellon University
System Design and Management,MIT
Photonics,MIT
Industrial and Labor Relations,Cornell
Engineering and Management,MIT
Mechanical Engineering,MIT
ETH Zurich - Material Science/Physics,Caltech
Aerospace Engineering,MIT
Computer Science and Engineering,MIT
Mechanical Engineering,New York University Tandon
Neuroscience,MIT
MBA,MIT
Nuclear Science and Engineering,MIT
Mathematics,MIT
Biological Engineering,MIT
Physics,MIT
"Strategy, Marketing, Analytics, Finance",MIT
Mechanical Engineering,MIT
Supply Chain Management,MIT
Masters of Science in Management of Technology,NYU
Biological Engineering,MIT
"Mathematics, Computer Science",MIT
Business Administration,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Biological Engineering,MIT
MBAn,MIT
MBA,MIT
AeroAstro,MIT
"Information Science, Computer Sciences",Cornell University
Computer Science,NYU
Applied Economics,Cornell
Caltech - Physics,Caltech
Biology and Chemistry joint Major (5-7 in MIT numbers),MIT
Chemistry and Biology (Course 5-7),MIT
Chemical Engineering,MIT
"Biological Engineering (planned, have yet to officially declare)",MIT
,
,
Mechanical engineering,MIT
Computer Science (6-3) and Management (15-1),MIT
Computation and Cognition (6-9),MIT
MBA,MIT
Mechanical Engineering,MIT
Electrical Engineering and Computer Science (6-2),MIT
Supply Chain,MIT
Chemical Engineering,MIT
Environmental Engineering,Cornell University
"Mechanical Engineering Major, Aerospace Engineering Minor",Caltech
General Management,Tuck School of Business at Dartmouth
Aerospace Engineering,Virginia Tech
Materials Science and Engineering,MIT
Electrical Engineering,Virginia Tech
Mechanical Engineering and Computer Science,MIT
Biomedical Engineering,Tufts University
"Information Systems, Information Science, Design and Environmental Analysis",Cornell Tech
Computational Cognition,MIT
Biological and Environmental Engineering,Cornell university
Environmental Engineering,Cornell
Urban Studies and Planning,MIT
Organic Chemistry,MIT
Chemical and Biomolecular Engineering,Cornell University
"Strategy, Marketing, Operations, Venture, Startups",MIT
International Business,Boston University
,
,
Biological engineering,MIT
"MBA, Finance, French",Dartmouth
Computer Science w/ Cyber Security Concentration,Worcester Polytechnic Institute
Mechanical Engineering,MIT
Applied Physics/Mechanical Engineering Dual Major,NYU Tandon
"Earth, Atmospheric and Planetary Science",MIT
Materials Science and Engineering,MIT
Mechanical Engineering,MIT
"Design, Urban Studies and Planning",MIT
Finance,MIT
Computer Engineering,Virginia Tech
,
Master of Finance,MIT
Computer Science,MIT
Aerospace Engineering,MIT
Civil Engineering,Virginia Polytechnic Institute and State University
Finance,MIT
Electrical Engineering,MIT
"Computer Science, Mathematics",MIT
Mechanical Engineering,Boston University
Quantitative Methods & Data Science,Columbia University
Chemical Engineering,MIT
Water Resources Engineering,MIT
Master’s in Technology Management,Georgetown University
"PhD in Information Technology, MS in Automation and Controls",MIT
,
Civil and Environmental Engineering,MIT
Mechanical Engineering,MIT
Data Science and Economics CS Concentration,MIT
Engineering Management,MIT
Computer Science,Stevens Institute of Technology
,
MS in Health Data Science,Harvard School of Public Health
Computer Science (6-3),MIT
3 - Material Science and Engineering,MIT
Molecular Biology and Computer Science,MIT
Computer Science,MIT
Business Administration,Tuck School of Business
MBA,Dartmouth
Business,Tuck School of Business
City Planning,MIT
Chemical Engineering,MIT
Mechanical engineering,MIT
Mechanical Engineering,MIT
16: Aerospace Engineering,MIT
Finance and Mathematics,MIT
Urban Infrastructure Systems,NYU
Economics,USC
Geology,Colorado School of MINES
"Media Lab, Voice, Speech, HCI, Human Computer Interaction, Design, Machine Learning",MIT
Computer Science,Arizona State University
DAta Science,WPI
Environmental Science,Tufts University
"Integrated Science, and Physics",Northwestern University
Mechanical Engineering,MIT
Engineering and Management,MIT
"Electrical Engineering & Computer Science, Brain & Cognitive Science",MIT
Management,Harvard
ME - Mechanical Engineering,Northwestern University
Information Systems,MIT
Bioinformatics,BU
"Computer Science, Economics, and Data Science",MIT
"Caltech - Aeronautics, Computer Science minor",California Institute of Technology
Biological Engineering,MIT
Mathematics,Caltech
Computer Science,WPI
"Mechanical Engineering, Design",MIT
Computation and Cognition,MIT
Mathematics,MIT
Computer Science,New York University
MBA,Babson College
Mechanical Engineering,California Institute of Technology
Accounting,Suffolk University
System Design and Management;,MIT
Supply Chain Management,MIT
"Mechanical Engineering, Business Management",MIT
Computer Science,NYU
Mechanical Engineering,MIT
Civil and Environmental Engineering,MIT
Technology and Policy,MIT
Sloan Fellow MBA,MIT
MBA Student,MIT
Data Science,Harvard University
Data Science and Analytics,MIT
Computer Science and Engineering 6-3,MIT
Mechanical Engineering,MIT
Business Administration,MIT Sloan School of Management
Economics,Wellesley
Computer Science & Engineering; Mathematics,MIT
Media Arts and Sciences,MIT
"Electrical Engineering, Physics",MIT
,
Computational Engineering,MIT
Computer Science,NYU
"Master of Business Analytics, Machine learning, Operations research",MIT
"6-3 Computer Science and Engineering, 20 Biological Engineering",MIT
Physics,MIT
Public Health & Health Management,Harvard School of Public Health
,
Civil Engineering,MIT
EECS,MIT
Computer Engineering,New York University
"Masters of Public Health- Global Health concentration in Humanitarian Studies, Ethics and Human Rights. Bachelors in Medicine and Surgery",Harvard
Systems Engineering,MIT
Cyber security master's student at NYU,NYU
System Design and Management,MIT
Computational Statistics,MIT
English,Brown University
Computer Science,NYU
Applied Physics,Caltech
,
Mechanical Engineering,MIT
6-3 (Computer Science),MIT
Aerospace Engineering,MIT
Comparative Media Studies,MIT
Computer Science and Engineering,MIT
Finance,MIT
Computer Science and Engineering,MIT
EECS,MIT
Materials Science and Engineering,MIT
Aerospace Engineering,MIT
Economics,Harvard
Computer Science and Neuroscience,MIT
Aeronautics and Astronautics,MIT
6-3,MIT
Management Science and Quantitative Methods,Dartmouth
Computer Science,MIT
Electrical engineering and computer science,MIT
Chemical Engineering,MIT
"Current: Architecture, Past: Mechanical Engineering",MIT
MBA,MIT
Mathematical Economics,MIT
Global Health,HSPH
Aerospace Engineering,Harvard Business School
Computer Science and Molecular Biology,MIT
Mathematics,MIT
6-3,MIT
Finance and Computer Science,MIT
Computer Science,Harvard University
Applied Math,Harvard
materials science and engineering,MIT
Computer Science (6-3),MIT
Urban Science and Planning with Computer Science,MIT
Biology,MIT
Technology and Policy with a focus on Energy Systems and Economics,MIT
Quantitative Methods (Epidemiology and Biostatistics),Harvard T. H. Chan School of Public Health
"Mathematics, Finance",MIT
Public Health,Harvard
Master of Public Health - Health and Social Behavior,Harvard T.H. Chan School of Public Health
"Computer Science, Operations Research",MIT
MS Integrated Design and Management,MIT
MPH,Harvard
Chemistry,MIT
,
"6-7, Molecular Biology and Computer Science",MIT
Computer Science,MIT
6-2,MIT
Business Analytics,MIT
Chemical Engineering,MIT
"Statistics, computer science, Immunology",MIT
Physics and EECS,MIT
Operations Research,MIT
Biological Engineering,MIT
Infectious Diseases Epidemiology,Harvard University
,
Mechanical and Ocean Engineering,MIT
"Public Health, Health Management",Harvhard
Biomedical Engineering/Mechanical Engineering (BS/MS),Northwestern University
Urban Planning,MIT
Computer Science,MIT
Mechanical engineering with Computer Science,MIT
Computer Science,MIT
Mechanical Engineering,MIT
Computer Science,MIT
Public Health,Harvard
Public Health,Harvard
System Design and Management,MIT
Biology,MIT
