,mostRelevantField,mostRelevantUni
0,Other,Other
1,Other,Other
2,Biology,Other
3,CS,Other
4,Business,Other
5,Business,Other
6,Business,Other
7,Other,Other
8,Other,Other
9,Business,Other
10,Business,Other
11,Business,Other
12,Business,Other
13,Biology,Other
14,Finance,Other
15,Biology,Other
16,CS,Other
17,Physics,Other
18,Policital Sci,Other
19,Other,Other
20,Other,Other
21,Other,Other
22,Biology,Other
23,CS,Other
24,Business,Other
25,Other,Other
26,Other,Other
27,Policital Sci,Other
28,Other,Other
29,Business,Other
30,Electrical Eng,Other
31,Other,Other
32,Chemistry,Other
33,Business,Other
34,Mechanical Eng,Other
35,Finance,Other
36,Marketing,Other
37,Other,Other
38,Data Science,Other
39,Other,Other
40,Finance,Other
41,Business,Other
42,Business,Other
43,Business,Other
44,AI,Other
45,Business,Other
46,Business,Other
47,Business,Other
48,Business,Other
49,Business,Other
50,Other,Other
51,Other,Other
52,Finance,Other
53,Finance,Other
54,Finance,Other
55,Marketing,Other
56,Data Science,Other
57,Business,Other
58,Business,Other
59,Data Science,Other
60,Data Science,Other
61,Data Science,Other
62,Other,Other
63,Other,Other
64,Other,Other
65,Other,Other
66,CS,Other
67,Finance,Other
68,Business,Other
69,Other,Other
70,Other,Other
71,Other,Other
72,Biology,Other
73,Other,Other
74,Finance,Other
75,Chemistry,Other
76,Policital Sci,Other
77,Physics,Other
78,Biology,Other
79,Other,Harvard
80,Biology,Other
81,Biology,Boston College
82,Business,Boston College
83,Other,Boston College
84,Data Science,Boston College
85,Business,Boston College
86,Finance,Boston College
87,Finance,Boston College
88,Other,Boston College
89,Business,Boston College
90,Business,Boston College
91,Data Science,Boston College
92,Finance,Boston College
93,Other,Boston College
94,Business,Boston College
95,Other,Boston College
96,Finance,Boston College
97,Finance,Boston College
98,Other,BU
99,AI,BU
100,Biology,BU
101,Biology,BU
102,Biology,BU
103,Biology,BU
104,Biology,BU
105,Biology,BU
106,Biology,BU
107,Biology,BU
108,Biology,BU
109,Biology,BU
110,Biology,BU
111,Biology,BU
112,Biology,BU
113,Biology,BU
114,Business,BU
115,CS,BU
116,CS,BU
117,CS,BU
118,CS,BU
119,CS,BU
120,CS,BU
121,CS,BU
122,CS,BU
123,CS,BU
124,CS,BU
125,CS,BU
126,Electrical Eng,BU
127,Electrical Eng,BU
128,Electrical Eng,BU
129,CS,BU
130,Business,BU
131,Business,BU
132,Other,BU
133,Other,BU
134,Other,BU
135,Other,BU
136,Other,BU
137,Policital Sci,BU
138,Business,BU
139,Other,BU
140,Biology,BU
141,Biology,BU
142,Business,BU
143,Business,BU
144,Other,BU
145,Business,BU
146,Business,BU
147,Business,BU
148,Mechanical Eng,BU
149,Mechanical Eng,BU
150,Mechanical Eng,BU
151,Mechanical Eng,BU
152,Mechanical Eng,BU
153,Mechanical Eng,BU
154,Mechanical Eng,BU
155,Mechanical Eng,BU
156,Other,BU
157,Other,BU
158,Other,BU
159,Policital Sci,BU
160,Other,BU
161,Business,BU
162,Other,BU
163,Other,BU
164,Business,BU
165,Other,BU
166,Other,BU
167,Other,BU
168,Biology,BU
169,Business,BU
170,Other,BU
171,Other,BU
172,Business,Other
173,Other,Other
174,CS,Other
175,Finance,Other
176,Physics,Other
177,Business,MIT
178,Finance,Other
179,Biology,Brandeis
180,Biology,Brandeis
181,Biology,Brandeis
182,Biology,Brandeis
183,CS,Brandeis
184,CS,Brandeis
185,CS,Brandeis
186,CS,Brandeis
187,CS,Brandeis
188,Biology,Brandeis
189,CS,Brandeis
190,CS,Brandeis
191,Finance,Brandeis
192,Finance,Brandeis
193,Finance,Brandeis
194,Finance,Brandeis
195,Business,Brandeis
196,Finance,Brandeis
197,Other,Brandeis
198,Other,Brandeis
199,Other,Brandeis
200,Other,Brandeis
201,Finance,Brandeis
202,Data Science,Brandeis
203,Business,Brandeis
204,Biology,Brandeis
205,Biology,Brandeis
206,Business,Brandeis
207,Physics,Brandeis
208,Data Science,Brandeis
209,AI,Brandeis
210,Other,Other
211,Biology,Harvard
212,Other,Other
213,Biology,MIT
214,CS,Other
215,Other,Other
216,Biology,Other
217,Finance,Other
218,Other,Other
219,Other,Other
220,Other,Other
221,Biology,Other
222,Other,Other
223,Other,Other
224,Finance,Other
225,Biology,Other
226,Business,Other
227,Chemistry,Other
228,Other,Other
229,CS,Other
230,CS,Other
231,CS,Other
232,CS,Other
233,Biology,Other
234,CS,Other
235,Finance,Other
236,Other,Other
237,Other,Other
238,Other,Other
239,Biology,Other
240,Other,Other
241,Other,Other
242,Other,Other
243,Other,Other
244,Other,Other
245,Materials,Other
246,Mechanical Eng,Other
247,Other,Other
248,Other,Other
249,Other,Other
250,Business,Other
251,Biology,Other
252,Biology,Other
253,Physics,Other
254,Biology,Other
255,Biology,Other
256,Biology,Other
257,Other,Other
258,CS,Other
259,CS,Other
260,Electrical Eng,Other
261,Biology,Other
262,Other,Other
263,Other,Other
264,Other,Other
265,CS,Other
266,Business,Other
267,Business,Other
268,Mechanical Eng,Other
269,Mechanical Eng,Other
270,Mechanical Eng,Other
271,Other,Other
272,Other,Other
273,Other,Other
274,Business,Other
275,Biology,Other
