,mostRelevantField,mostRelevantUni,highestDegree
0,Aero,WPI,Bachelors
1,Data Science,Northeastern,Masters
2,Policital Sci,Other,PhD
3,CS,Other,Bachelors
4,Data Science,Northeastern,Masters
5,Other,Other,Bachelors
6,AI,MIT,Postdoc
7,Other,Other,Bachelors
8,CS,MIT,Bachelors
9,Data Science,Other,Bachelors
10,CS,Northeastern,Masters
11,Business,Northeastern,Masters
12,CS,MIT,Bachelors
13,CS,MIT,Bachelors
14,CS,MIT,Bachelors
15,CS,Other,Bachelors
16,Business,BU,Bachelors
17,Aero,MIT,Bachelors
18,Other,MIT,Masters
19,CS,MIT,Bachelors
20,Other,Northeastern,Masters
21,AI,BU,Bachelors
22,Physics,MIT,Bachelors
23,Business,Other,Other
24,Other,MIT,Bachelors
25,CS,Other,Masters
26,CS,MIT,Bachelors
27,CS,MIT,Bachelors
28,Data Science,MIT,Bachelors
29,CS,Northeastern,Masters
30,Other,MIT,Masters
31,Biology,Other,Bachelors
32,CS,Northeastern,Masters
33,CS,Northeastern,Masters
34,Other,Other,Masters
35,Biology,Northeastern,Masters
36,Physics,MIT,Bachelors
37,Data Science,Other,Masters
38,Other,Other,Masters
39,AI,MIT,Masters
40,CS,MIT,Bachelors
41,Data Science,Other,Masters
42,CS,BU,Masters
43,Business,MIT,Masters
44,Data Science,Northeastern,Masters
45,Mechanical Eng,MIT,PhD
46,Business,Other,Bachelors
47,Mechanical Eng,Northeastern,Postdoc
48,CS,MIT,Bachelors
49,Mechanical Eng,Northeastern,Postdoc
50,Other,Northeastern,Masters
51,CS,Northeastern,Masters
52,Mechanical Eng,MIT,Bachelors
53,Data Science,Northeastern,Masters
54,Business,Other,Masters
55,Biology,Tufts,Bachelors
56,Chemistry,Other,Bachelors
57,Data Science,Northeastern,Masters
58,Data Science,Northeastern,Masters
59,CS,Northeastern,Masters
60,Chemistry,MIT,Bachelors
61,CS,Other,Bachelors
62,Data Science,Northeastern,Masters
63,Other,Northeastern,Masters
64,CS,Other,Masters
65,Other,Other,Masters
66,Mechanical Eng,Northeastern,Bachelors
67,CS,Northeastern,Masters
68,CS,MIT,Bachelors
69,CS,MIT,Bachelors
70,CS,BU,Bachelors
71,CS,MIT,Masters
72,Mechanical Eng,MIT,Bachelors
73,AI,Northeastern,Masters
74,Other,Other,Bachelors
75,Chemistry,MIT,Masters
76,Data Science,Northeastern,Masters
77,Biology,MIT,Postdoc
78,CS,Other,Masters
79,Industrial Eng,Other,Bachelors
80,Biology,Northeastern,Masters
81,Other,Other,Masters
82,Other,BU,Other
83,Industrial Eng,Northeastern,Masters
84,Physics,Other,PhD
85,Data Science,Northeastern,Masters
86,Physics,MIT,Postdoc
87,Physics,MIT,Postdoc
