,Candidate ID,mostRelevantField,mostRelevantUni,highestDegree
0,5e52c16037472c00d3608dd0,Other,Other,Other
1,5df0626c8dbee800dd1d6531,Other,Other,Other
2,5e40af6b8dbee800dd1d8b98,Mechanical Eng,Other,Masters
3,5e5172f66b8e7400d252fb8d,Other,Other,Other
4,5e41c7f08dbee800dd1d8d21,Finance,Other,MBA
5,5e515a615eb42900d3c0c0a8,AI,MIT,PhD
6,5e4f7095d00f9f00d3d5b6f1,CS,NYU,Masters
7,5e4c8aa63acdaa00d34d7c9b,Business,Northeastern,Masters
8,5e50a84e6b8e7400d252f640,Data Science,MIT,MBA
9,5e4732983acdaa00d34d6da1,Other,Other,Masters
10,5e18a3168dbee800dd1d69a7,Business,Other,Masters
11,5e3afffd8dbee800dd1d8511,Physics,MIT,Postdoc
12,5e3392c98dbee800dd1d7b61,Industrial Eng,Northeastern,Masters
13,5e516e1a5eb42900d3c0c1a2,Electrical Eng,Other,MBA
14,5e4d6f9a3acdaa00d34d8100,Business,Other,MBA
15,5e4ffd91d00f9f00d3d5b996,Biology,Other,PhD
16,5e4f10b3d00f9f00d3d5b376,Electrical Eng,UMass Boston,Bachelors
17,5e4b17c73acdaa00d34d761a,Mechanical Eng,MIT,Masters
18,5e1f5f228dbee800dd1d6b9e,CS,WPI,Bachelors
19,5e1f5e0a8dbee800dd1d6b9a,Electrical Eng,WPI,Bachelors
20,5e4aca223acdaa00d34d7444,Business,Hult Business,MBA
21,5e284b548dbee800dd1d70b2,CS,Other,Masters
22,5e4c899f3acdaa00d34d7c86,Biology,Other,PhD
23,5e50b6bccb31a300d2831944,Mechanical Eng,WPI,Bachelors
24,5e50a7f05eb42900d3c0bc67,Business,Other,MBA
25,5e28bade8dbee800dd1d716f,Data Science,NYU,Masters
26,5e325f608dbee800dd1d79d3,Other,NYU,Masters
27,5e48067a3acdaa00d34d6e51,Data Science,Other,Masters
28,5e3909bd8dbee800dd1d818e,Other,Other,Postdoc
29,5e50803c5eb42900d3c0bb95,CS,Other,MBA
30,5e30c0eb8dbee800dd1d78a5,Biology,Harvard,Postdoc
31,5e4fd143d00f9f00d3d5b7ee,Other,MIT,Masters
32,5e4995f93acdaa00d34d701c,Biology,Other,Masters
33,5e2f27258dbee800dd1d767a,CS,Harvard,Masters
34,5e4736193acdaa00d34d6dac,CS,NYU,Masters
35,5e1dfaa48dbee800dd1d6afb,Finance,BU,Bachelors
36,5e41b10c8dbee800dd1d8cf0,Data Science,Other,MBA
37,5e2b337e8dbee800dd1d7391,Other,BU,MD
38,5e4ca3b63acdaa00d34d7d5d,Other,Tufts,MBA
39,5e2e58958dbee800dd1d75de,Data Science,Other,MBA
40,5e4ec616d00f9f00d3d5b052,Mechanical Eng,MIT,Masters
41,5e4560bf8dbee800dd1d956e,Other,MIT,Masters
42,5e4c427a3acdaa00d34d7b22,Biology,Other,Postdoc
43,5e14f7e18dbee800dd1d6822,Biology,Harvard,Postdoc
44,5e51512c7504bb00d2f54a42,Other,Other,Other
45,5e4b0f4d3acdaa00d34d75e9,Chemistry,Northeastern,PhD
46,5e51648ecb31a300d2831d76,Other,Other,Masters
47,5e51494bcb31a300d2831c44,Other,Other,Other
48,5e39cb328dbee800dd1d82f2,Other,Harvard,Bachelors
49,5e2fc1e68dbee800dd1d77ad,AI,NYU,Masters
50,5e2df9c58dbee800dd1d7518,Other,Other,Bachelors
51,5e4bf99e3acdaa00d34d792d,Business,MIT,Masters
52,5e3c4dc88dbee800dd1d8793,Business,MIT,Masters
53,5e4388dc8dbee800dd1d90e7,CS,MIT,Bachelors
54,5e4dd7b33acdaa00d34d8344,Business,MIT,MBA
55,5e4aba7b3acdaa00d34d73f9,Data Science,NYU,Bachelors
56,5e4f0dc5d00f9f00d3d5b363,Electrical Eng,NYU,Masters
57,5e38ff688dbee800dd1d8183,Biology,Other,Postdoc
58,5e4331a88dbee800dd1d901d,Finance,Northeastern,Masters
59,5e22452f8dbee800dd1d6d69,Business,Northeastern,Masters
60,5e5083cf5eb42900d3c0bbaf,CS,Other,Masters
61,5e39d1e68dbee800dd1d830a,AI,NYU,Masters
62,5e25f5578dbee800dd1d6ed5,AI,Northeastern,Masters
63,5e4ed0c5d00f9f00d3d5b104,Other,Other,Masters
64,5e4b129f3acdaa00d34d75f4,Finance,Harvard,Bachelors
65,5e33156e8dbee800dd1d7ab2,Other,Harvard,PhD
66,5e48aa493acdaa00d34d6f52,Finance,Hult Business,MBA
67,5e1a642e8dbee800dd1d69fd,Other,Dartmouth,Bachelors
68,5e24b6ae8dbee800dd1d6dff,Data Science,Hult Business,MBA
69,5e4dfe143acdaa00d34d84c5,Other,Other,PhD
70,5e4d6be23acdaa00d34d80f2,Biology,Other,Masters
71,5e513c947504bb00d2f54951,CS,Other,High school
