,User ID,mostRelevantField,mostRelevantUni,highestDegree
0,16422,Finance,Other,Masters
1,59858,Other,Other,Bachelors
2,60336,Other,Other,Other
3,60358,CS,MIT,PhD
4,60512,Business,MIT,Masters
5,60576,Business,Other,Other
6,60737,Chemistry,MIT,Bachelors
7,61523,CS,MIT,Bachelors
8,62292,Electrical Eng,Other,PhD
9,62989,Other,MIT,Masters
10,64264,Mechanical Eng,MIT,Bachelors
11,64329,CS,MIT,Masters
12,66207,Finance,Harvard,Bachelors
13,67412,Physics,MIT,Bachelors
14,67463,Other,Other,Masters
15,67851,Other,Harvard,Bachelors
16,68695,Mechanical Eng,MIT,Bachelors
17,69148,Physics,Harvard,PhD
18,69197,Other,Harvard,PhD
19,69638,Other,Harvard,Bachelors
20,69898,Other,Harvard,Masters
21,70639,Mechanical Eng,Harvard,Bachelors
22,71833,Materials,MIT,Masters
23,79279,Other,Other,PhD
24,88361,Business,Other,Other
25,107271,Biology,Other,PhD
26,142807,Other,Other,MBA
27,147122,Finance,Other,Other
28,147131,Physics,Other,PhD
29,147201,Mechanical Eng,Other,Masters
30,147282,CS,MIT,PhD
31,147286,Other,MIT,Masters
32,147347,Business,MIT,Masters
33,147446,Physics,Other,PhD
34,147460,Other,Other,Bachelors
35,147470,Other,Other,Bachelors
36,147527,Business,Harvard,Masters
37,147683,Other,Other,Other
38,147764,CS,MIT,PhD
39,147776,Biology,Other,PhD
40,147778,Mechanical Eng,UMass Amherst,Bachelors
41,147785,Other,Other,Other
42,147800,Other,Other,MBA
43,147806,Electrical Eng,Other,Other
44,147807,Materials,Other,Masters
45,147809,Other,MIT,Masters
46,147817,Biology,MIT,PhD
47,147840,Business,Other,Other
48,147851,Business,Other,Other
49,147857,Business,Other,Other
50,147864,Biology,Other,PhD
51,147870,Business,Other,Other
52,147893,Other,Other,Bachelors
53,147896,Materials,Other,PhD
54,147898,Mechanical Eng,Other,Bachelors
55,147899,Business,Other,Bachelors
56,147900,Business,Other,Bachelors
57,147901,Other,Other,PhD
58,147902,Other,BU,PhD
59,147904,Other,Other,MBA
60,147905,Other,Other,Masters
61,147906,Other,UMass Amherst,Masters
62,147907,CS,UMass Boston,Bachelors
63,147908,Other,Other,PhD
64,147909,Other,Harvard,Bachelors
65,147910,Biology,Harvard,Bachelors
66,147911,Other,Other,PhD
67,147913,Other,NYU,Bachelors
